Age; Workclass; Education; Years of Education; Marital Status; Occupation; Relationship; Race; Sex; Hours Work per Week; Income
57;1;10;13;3;10;1;1;0;40;1
53;4;12;9;3;7;1;2;0;38;0
44;4;13;14;1;4;5;2;1;40;0
41;7;9;11;3;3;1;2;0;40;0
29;4;9;11;5;10;2;2;0;43;0
25;4;16;10;3;4;6; Other;1;40;0
18;4;12;9;5;8;4;2;1;30;0
47;4;15;15;3;10;6;2;1;60;1
50;1;10;13;1;4;2;2;0;55;1
47;5;12;9;1;4;2;2;0;60;0
43;4;16;10;3;13;1;2;0;40;1
46;4;5;3;3;7;1;2;0;40;0
35;4;9;11;3;8;1;2;0;40;0
41;4;12;9;3;1;1;2;0;48;0
30;4;12;9;3;7;1;2;0;40;0
30;4;10;13;3;12;1;2;0;40;0
32;?;6;4;4;;2;2;0;40;0
48;4;12;9;3;14;1;2;0;40;0
42;4;11;16;3;10;1;2;0;45;1
29;4;16;10;1;13;2;2;0;58;0
36;4;12;9;3;3;1;2;0;40;0
28;4;16;10;1;1;2;2;1;40;0
53;4;12;9;3;1;6;2;1;40;1
49;5;16;10;3;4;1;2;0;50;1
25;?;16;10;5;;4;2;0;40;0
19;4;16;10;5;10;4;2;0;32;0
31;4;10;13;6;12;4;1;1;40;0
29;6;10;13;3;12;1;2;0;70;1
23;4;16;10;5;7;2;2;0;40;0
79;4;16;10;3;10;3;2;0;20;0
27;4;12;9;5;8;4;2;0;40;0
40;4;8;12;3;1;1;2;0;40;0
67;?;1;6;3;;1;2;0;2;0
18;4;2;7;5;8;4;2;1;22;0
31;2;6;4;3;5;1;2;0;40;0
18;4;12;9;5;12;2;2;0;30;0
52;4;10;13;3;8;1;2;0;40;0
46;4;12;9;3;8;6;2;1;40;0
59;4;12;9;3;12;1;2;0;48;0
44;4;12;9;1;3;2;2;1;40;1
53;4;12;9;1;12;4;2;1;35;0
49;2;12;9;3;11;1;2;0;40;1
33;4;13;14;3;10;1;2;0;50;0
30;4;7;5;5;12;2;2;0;40;0
43;1;11;16;5;10;2;2;1;50;1
57;4;9;11;3;10;1;2;0;40;0
37;4;16;10;1;3;5;2;1;40;0
28;4;16;10;1;7;5;1;1;25;0
30;4;12;9;3;12;6;4;1;35;0
34;2;10;13;3;11;1;2;0;40;1
29;2;16;10;5;6;2;2;0;50;0
48;6;11;16;3;10;1;2;0;60;1
37;4;16;10;3;12;1;2;0;48;1
48;4;8;12;1;4;5;2;1;40;0
32;1;12;9;5;8;4;1;0;40;0
76;4;13;14;3;4;1;2;0;40;1
44;4;10;13;3;4;1;2;0;60;1
47;6;13;14;5;10;2;2;1;50;0
20;4;16;10;5;13;4;2;1;40;0
29;4;12;9;5;3;2;2;0;40;0
32;5;12;9;3;3;1;2;0;40;1
17;?;1;6;5;;4;2;1;32;0
30;4;2;7;5;6;4;2;0;40;0
31;2;12;9;5;1;2;2;1;40;0
42;4;12;9;3;6;1;2;0;40;0
24;4;10;13;5;12;3;2;0;40;0
38;4;15;15;3;10;1;2;0;40;1
56;6;12;9;3;8;1;2;0;50;1
28;4;16;10;3;12;6;2;1;25;0
36;4;12;9;5;7;4;2;1;40;0
53;4;7;5;3;6;1;2;0;50;0
56;5;16;10;3;12;1;2;0;50;0
49;2;9;11;3;3;1;1;0;40;1
55;4;16;10;3;12;1;2;0;56;0
22;4;12;9;5;3;2;2;0;41;0
21;4;16;10;5;8;4;2;1;40;0
40;4;10;13;3;4;1;2;0;60;0
30;4;10;13;5;4;4;1;0;40;0
29;7;10;13;3;10;1;2;0;50;1
19;4;16;10;5;8;4;1;0;35;0
47;4;10;13;3;4;6;2;1;40;1
20;4;16;10;5;1;4;2;1;28;0
31;4;8;12;3;1;1;2;0;40;1
35;?;12;9;3;;1;2;0;40;0
39;4;16;10;1;3;2;2;0;40;0
28;4;8;12;5;12;2;2;1;60;0
24;4;12;9;5;8;2;2;1;40;0
38;6;12;9;3;3;1;2;0;35;0
37;4;10;13;3;12;1;2;0;50;0
46;4;8;12;1;13;2;1;1;36;0
38;1;13;14;3;10;1;2;0;40;1
43;6;12;9;3;3;1;2;0;60;0
27;4;9;11;3;1;6;2;1;35;0
20;4;16;10;5;12;4;2;0;20;0
49;4;16;10;3;3;1;4;0;40;1
61;5;12;9;3;3;1;2;0;40;0
27;4;16;10;5;12;4;2;1;40;0
19;4;16;10;5;8;4;2;0;30;0
45;4;9;11;5;10;2;2;1;40;1
70;4;16;10;5;13;3;2;0;40;0
31;4;12;9;5;14;5;1;1;30;0
22;4;16;10;3;8;1;2;0;24;0
36;4;12;9;7;8;5;2;1;24;0
64;4;2;7;3;3;1;2;0;40;0
43;?;16;10;1;;2;2;1;40;0
47;2;16;10;1;1;5;2;1;38;0
34;4;12;9;5;1;2;2;1;40;0
33;4;10;13;5;4;3;4;1;40;0
21;4;12;9;5;3;4;2;0;35;0
52;?;12;9;1;;2;2;0;45;1
48;4;12;9;3;3;1;2;0;46;0
23;4;10;13;5;6;2;2;0;40;0
71;6;16;10;6;12;5;1;0;2;0
29;4;12;9;1;3;2;2;0;60;0
42;4;10;13;6;8;3;1;0;50;0
68;?;4;2;1;;2;2;1;20;0
25;4;12;9;5;8;5;2;1;40;0
44;5;13;14;1;4;5;4;1;40;0
28;4;12;9;5;4;2;4;1;40;0
45;6;13;14;3;12;1;2;0;40;1
36;4;16;10;1;8;5;2;1;40;0
39;1;8;12;5;4;2;2;0;42;0
46;7;13;14;7;11;5;2;0;40;0
18;4;2;7;5;6;4;2;0;16;0
66;2;9;11;7;10;2;2;1;20;0
27;4;12;9;5;8;2;2;0;40;0
28;7;12;9;3;11;1;2;0;40;0
51;4;16;10;3;12;1;2;0;40;1
27;4;10;13;5;3;2;2;0;50;0
28;7;10;13;3;10;1;2;0;40;1
27;4;12;9;4;12;5;2;1;25;0
21;4;12;9;5;3;4;1;0;40;0
34;4;12;9;5;6;2;1;0;40;0
18;4;12;9;5;8;4;2;0;12;0
33;4;10;13;3;10;1;2;0;65;0
44;2;16;10;3;4;1;1;0;38;1
43;4;16;10;1;1;2;2;1;40;0
30;4;16;10;5;3;2;1;0;45;0
40;4;6;4;3;7;1;2;0;40;1
37;1;16;10;3;1;1;2;0;42;1
34;4;12;9;3;1;1;1;0;40;0
41;6;10;13;1;4;2;2;1;40;0
53;?;10;13;1;;2;2;1;50;0
31;4;13;14;3;10;6;2;1;50;0
58;7;11;16;3;10;1;2;0;1;1
38;4;16;10;1;7;2;1;1;28;0
24;4;16;10;3;7;1;2;0;40;0
41;2;10;13;3;3;1;1;0;40;0
47;4;16;10;3;13;1;2;0;45;0
41;1;10;13;3;13;1;2;0;24;0
23;4;5;3;3;14;3;2;0;40;0
36;4;16;10;1;3;2;2;0;40;0
40;1;13;14;5;4;2;2;1;55;1
35;4;13;14;3;10;3;2;0;40;1
24;6;12;9;5;12;2;2;0;40;0
26;4;13;14;5;10;2;2;1;40;0
19;?;12;9;5;;4;2;0;40;0
51;4;10;13;3;4;1;2;0;50;1
42;2;16;10;5;10;2;2;1;40;0
37;7;12;9;1;1;5;2;1;35;0
18;4;2;7;5;12;4;2;1;40;0
36;4;10;13;3;8;1;1;0;36;1
35;4;12;9;1;3;2;2;0;60;0
58;5;12;9;3;12;6;2;1;35;1
17;4;2;7;5;12;4;2;1;12;0
44;2;12;9;3;14;1;1;0;40;0
37;4;12;9;3;3;1;2;0;40;1
35;4;16;10;5;12;2;3;1;40;0
60;4;12;9;3;3;1;4;0;40;0
54;5;6;4;3;7;1;2;0;40;1
37;4;10;13;5;4;2;1;0;60;1
50;4;8;12;1;12;2;2;1;40;0
38;4;10;13;3;12;1;2;0;50;0
45;4;10;13;3;10;1;2;0;55;0
25;4;1;6;5;3;2;2;0;40;0
31;4;16;10;3;6;1;2;0;40;0
64;?;4;2;1;;2;2;0;40;0
90;4;12;9;5;8;2;1;0;40;0
54;4;12;9;3;1;1;1;0;20;0
53;2;14;1;5;7;2;2;1;35;0
18;4;12;9;5;12;4;2;1;40;0
60;?;1;6;1;;2;3;1;10;0
66;6;12;9;3;5;1;2;0;50;0
75;4;9;11;7;1;2;2;1;20;0
65;4;12;9;1;1;2;2;1;40;0
35;4;2;7;6;14;2;1;0;40;0
41;4;12;9;1;12;5;1;1;38;0
25;4;16;10;5;1;2;2;0;42;0
33;4;16;10;1;3;3; Other;1;40;0
28;4;15;15;5;10;2;2;0;55;1
59;7;12;9;3;8;1;2;0;40;0
40;7;16;10;5;1;2;2;1;38;0
41;4;10;13;3;4;1;2;0;50;1
38;2;13;14;3;4;1;2;0;70;1
23;4;12;9;5;14;4;2;0;40;0
40;4;10;13;3;10;1;2;0;40;1
41;6;12;9;3;8;6;2;1;20;0
24;7;8;12;3;11;1;2;0;50;0
20;?;16;10;5;;4;2;0;20;0
38;4;16;10;1;3;2;2;0;40;0
56;4;12;9;3;1;1;2;0;35;0
58;4;12;9;3;1;1;2;0;45;1
32;4;12;9;5;8;2;2;1;34;0
40;4;8;12;3;13;1;2;0;60;1
45;4;12;9;3;1;1;2;0;40;0
41;4;15;15;3;10;6;2;1;40;1
42;4;10;13;3;1;6;1;1;40;0
59;2;1;6;7;8;5;1;1;30;0
19;2;16;10;5;1;4;2;0;40;0
58;4;16;10;5;14;2;2;0;20;0
42;6;12;9;3;5;1;4;0;40;1
20;4;12;9;5;8;4;2;1;40;0
32;4;12;9;6;8;2;2;1;30;0
45;4;9;11;7;4;2;2;1;45;0
50;4;6;4;1;3;2;2;0;40;0
36;4;10;13;1;10;4;2;1;40;0
45;4;12;9;3;12;1;2;0;60;0
17;4;2;7;5;8;4;2;0;12;0
59;4;16;10;3;12;1;2;0;40;0
26;4;2;7;3;3;1;2;0;40;0
37;5;16;10;3;4;1;4;0;75;1
19;?;16;10;5;;4;2;0;24;0
64;4;12;9;3;4;1;2;0;40;1
33;4;10;13;5;10;2;2;1;45;0
33;4;12;9;3;3;6;2;1;40;1
61;4;12;9;3;4;1;2;0;40;1
17;4;7;5;5;8;4;2;0;24;0
50;6;13;14;3;5;1;2;0;98;0
27;2;13;14;5;10;4;2;0;35;0
30;4;12;9;1;10;4;2;1;40;0
43;4;12;9;3;6;1;1;0;40;0
44;4;16;10;3;3;1;2;0;40;1
35;4;16;10;5;4;2;2;1;40;0
25;4;16;10;5;13;4;2;1;40;0
24;4;16;10;3;7;6;2;1;48;1
22;4;10;13;5;10;2;2;1;15;0
42;2;16;10;3;3;1;2;0;40;1
34;4;8;12;1;12;5;1;1;45;0
60;4;10;13;1;10;2;2;1;42;0
21;4;12;9;5;6;4;2;0;40;0
57;1;13;14;3;12;1;2;0;40;1
41;4;15;15;3;10;1;2;0;60;1
50;4;16;10;1;8;2;2;0;45;0
25;4;10;13;5;4;2;2;1;40;0
50;4;6;4;3;3;1;2;0;40;0
36;4;10;13;3;10;1;2;0;45;0
31;4;12;9;1;10;2;2;1;40;0
29;2;10;13;5;11;2;2;0;56;0
21;4;16;10;5;12;4;2;0;45;0
27;4;10;13;5;13;5;1;1;40;0
65;4;12;9;3;14;1;2;0;16;0
37;5;10;13;1;12;2;2;1;60;0
39;?;13;14;3;;6;4;1;40;0
24;4;12;9;5;3;4;2;0;40;0
38;4;12;9;1;12;2;2;0;80;0
48;4;10;13;3;1;1;2;0;40;1
21;4;16;10;5;8;2;4;1;25;0
31;4;12;9;3;14;1;2;0;45;1
55;4;12;9;3;12;1;2;0;40;1
24;4;16;10;3;1;6;4;1;40;0
43;4;12;9;1;1;2;2;1;40;0
26;4;8;12;5;13;2;2;0;45;0
46;4;8;12;5;10;2;2;1;33;0
35;4;8;12;3;1;1;2;0;40;1
41;5;16;10;3;5;1;2;0;54;1
26;4;10;13;5;12;2;2;0;40;0
34;4;13;14;3;4;1;4;0;35;1
19;?;16;10;5;;4;1;1;25;0
36;6;10;13;1;10;2;1;1;40;1
22;4;16;10;5;12;4;2;0;15;0
24;4;16;10;5;7;2;2;0;40;0
77;6;16;10;3;12;1;2;0;40;0
22;4;5;3;3;7;3;2;1;40;0
29;4;16;10;5;13;2;2;1;40;0
62;4;12;9;7;8;2;2;1;24;0
39;6;12;9;3;4;1;2;0;40;0
43;4;16;10;3;3;1;2;0;50;0
35;4;12;9;1;14;2;2;0;45;0
29;4;2;7;5;4;2;2;1;40;0
76;6;13;14;3;3;1;2;0;10;0
63;6;12;9;3;5;1;2;0;45;0
23;?;9;11;5;;4;1;1;15;0
43;4;16;10;3;10;6;2;1;50;1
58;6;12;9;3;6;1;2;0;40;0
66;4;12;9;5;14;2;2;0;55;0
41;4;16;10;5;3;2;1;0;45;0
26;4;10;13;5;1;2;2;0;40;0
47;4;9;11;5;8;2;2;0;40;0
55;2;1;6;3;1;1;2;0;40;0
53;4;12;9;3;14;1;2;0;40;0
17;4;5;3;5;8;3;2;0;48;0
30;4;12;9;5;3;3;2;0;40;0
49;4;13;14;5;10;2;2;0;60;0
19;4;12;9;5;12;5;1;0;30;0
45;4;12;9;3;8;1;1;0;40;0
26;4;8;12;5;12;2;2;0;40;0
38;4;9;11;3;3;1;2;0;40;1
36;7;12;9;3;11;1;2;0;40;1
33;4;12;9;5;5;2;2;0;20;0
22;7;16;10;5;11;4;1;1;40;0
43;6;10;13;5;12;2;2;0;42;0
67;?;2;7;3;;1;2;0;8;0
30;?;9;11;1;;5;2;1;40;0
56;4;8;12;4;8;2;2;0;25;0
31;4;10;13;5;10;4;2;0;25;0
33;4;10;13;3;4;1;2;0;40;1
26;4;12;9;3;8;1;2;0;40;0
33;4;10;13;3;4;1;2;0;40;1
46;2;2;7;3;14;1;2;0;30;0
59;?;10;13;3;;1;2;0;40;1
38;1;12;9;3;1;1;2;0;40;1
65;4;2;7;7;8;5; Other;0;40;0
40;4;9;11;3;13;1;2;0;40;1
42;4;12;9;3;1;6;2;1;35;0
26;6;7;5;3;3;1;2;0;40;0
36;4;1;6;3;8;6;2;1;24;0
62;4;13;14;3;10;1;2;0;40;1
43;4;10;13;3;14;1;2;0;45;0
43;4;10;13;1;4;2;2;0;45;1
22;4;12;9;4;12;2;2;0;55;0
28;4;12;9;3;3;1;2;0;40;0
56;6;16;10;3;12;1;2;0;45;0
22;4;8;12;5;12;2;2;1;15;0
57;4;10;13;1;4;2;2;1;45;1
39;4;12;9;1;12;5;2;1;40;0
26;1;16;10;5;1;5;2;1;15;0
17;4;2;7;5;8;4;2;0;10;0
40;7;9;11;3;7;1;2;0;38;1
45;4;12;9;3;7;1;1;0;40;0
44;4;12;9;5;3;2;1;0;40;0
20;2;16;10;5;1;4;2;1;10;0
33;4;12;9;3;3;6;2;1;40;0
23;4;16;10;5;12;2;2;0;40;0
46;6;13;14;1;4;2;2;0;30;0
38;4;12;9;3;12;1;2;0;50;0
54;4;12;9;1;14;2;2;0;40;0
46;4;5;3;1;3;2;2;1;45;0
25;4;16;10;3;3;1;2;0;40;0
46;4;16;10;1;12;2;2;1;40;0
36;2;16;10;3;14;6;2;1;40;0
23;4;12;9;5;8;2;2;1;25;0
29;4;12;9;6;7;2;2;0;40;0
44;4;16;10;3;1;6;2;1;6;1
19;4;16;10;5;1;4;2;1;16;0
19;4;12;9;5;8;3;2;1;40;0
35;4;12;9;3;8;6;2;1;40;1
27;4;10;13;5;3;2;2;0;50;0
46;6;8;12;6;3;2;2;0;40;0
34;7;10;13;3;4;1;2;0;45;1
34;4;12;9;5;8;2;2;1;35;0
44;4;16;10;3;13;1;2;0;40;0
45;4;16;10;1;6;5;2;1;40;0
20;?;12;9;5;;3;2;1;35;0
25;4;10;13;3;4;1;2;0;55;1
52;5;10;13;3;4;1;2;0;50;1
20;4;16;10;5;6;4;2;0;40;0
28;4;16;10;5;8;2;2;1;40;0
50;7;10;13;3;11;1;2;0;40;1
34;4;9;11;1;13;2;2;1;64;0
28;4;6;4;3;6;1; Other;0;40;0
41;4;13;14;3;4;1;2;0;65;1
28;4;12;9;3;1;1;2;0;40;0
46;6;12;9;3;3;1;2;0;25;0
28;?;16;10;3;;6;2;1;40;1
32;4;16;10;3;4;1;2;0;50;0
41;2;16;10;1;8;2;1;1;24;0
24;4;12;9;5;6;5;1;1;40;0
33;4;16;10;1;4;5;2;1;40;0
46;4;11;16;3;4;1;2;0;60;1
31;7;16;10;3;7;1;2;0;40;0
35;4;3;8;1;3;2;2;0;50;1
52;4;4;2;3;7;1;2;0;40;0
30;4;2;7;5;8;4;2;1;19;0
34;2;2;7;6;7;2;1;0;40;0
34;7;12;9;1;14;5;2;1;40;0
20;4;16;10;3;12;1;2;0;30;0
17;4;2;7;5;6;4;2;0;18;0
32;7;10;13;3;4;6;2;1;40;1
29;4;12;9;1;5;2;2;0;40;0
33;4;1;6;5;3;5;2;1;35;0
25;4;12;9;3;14;1;2;0;60;0
36;1;13;14;5;10;2;2;0;40;0
23;4;12;9;5;6;2;2;0;72;0
63;5;12;9;3;4;1;2;0;40;1
47;2;13;14;3;10;1;2;0;40;0
80;?;12;9;7;;2;2;0;24;0
17;?;2;7;5;;4;2;0;40;0
40;6;10;13;4;10;2;2;1;40;0
30;4;8;12;3;8;6;2;1;25;1
27;4;16;10;5;3;4;4;0;40;0
33;4;13;14;3;10;1;2;0;50;1
34;2;12;9;5;5;2;1;0;60;0
34;2;16;10;5;11;2;2;1;40;0
23;4;16;10;3;1;1;2;0;40;0
42;2;16;10;3;1;6;2;1;40;0
29;4;10;13;5;10;2;2;0;40;0
45;4;12;9;1;1;2;2;1;28;0
24;1;12;9;5; Armed-Forces;4;2;0;40;0
44;4;16;10;3;10;1;2;0;40;1
27;4;7;5;5;3;3;2;0;40;0
20;4;16;10;5;12;2;2;0;35;0
44;4;12;9;7;4;5;1;1;40;0
51;4;12;9;3;3;1;3;0;40;0
20;4;12;9;3;7;1;2;0;40;0
17;?;2;7;5;;4;2;1;5;0
19;4;12;9;5;7;4;1;1;40;0
45;5;16;10;3;3;1;2;0;55;1
60;4;12;9;3;3;1;2;0;40;1
42;4;8;12;3;4;1;1;0;40;1
44;6;12;9;3;12;6;2;1;40;1
40;4;9;11;3;7;1;4;0;40;1
30;4;12;9;3;4;6;2;1;40;0
38;4;16;10;3;14;1;1;0;50;0
23;4;12;9;3;14;1;2;0;60;0
32;?;16;10;3;;1;2;0;40;0
44;4;8;12;5;5;4;2;0;40;0
54;2;12;9;3;14;1;1;0;40;0
32;4;10;13;3;10;1;2;0;50;0
50;4;4;2;4;3;5;2;0;40;0
24;4;10;13;5;13;2;2;1;20;0
37;4;12;9;3;1;6;2;1;60;0
52;4;12;9;1;14;5;2;0;40;0
38;4;16;10;3;14;1;2;0;40;0
49;4;13;14;3;4;1;2;0;45;1
30;4;10;13;3;13;6;2;1;16;1
60;4;16;10;5;10;5;2;0;40;1
22;?;16;10;5;;4;2;0;40;0
35;4;12;9;5;3;2;2;0;40;0
30;4;12;9;5;14;2;2;0;60;0
67;4;9;11;1;8;2;2;1;24;0
46;4;10;13;5;3;2;2;1;40;0
17;4;7;5;5;8;2;2;0;6;0
22;4;16;10;5;6;4;2;0;30;0
27;4;1;6;5;8;2;2;0;40;0
23;4;12;9;5;8;5;2;1;35;0
33;4;8;12;3;3;1;2;0;45;0
43;6;16;10;3;3;1;2;0;20;0
28;7;10;13;5;10;2;2;0;20;0
41;4;12;9;4;3;5;2;1;40;0
52;?;3;8;5;;3;1;0;40;0
25;4;16;10;4;1;4;1;1;20;0
63;?;4;2;3;;1;2;0;35;0
59;2;12;9;3;14;1;2;0;45;0
45;2;10;13;1;10;5;2;1;40;0
38;4;10;13;3;12;1;2;0;60;1
40;4;12;9;5;8;2;2;1;35;0
46;1;12;9;1;1;2;2;0;40;0
35;4;8;12;5;4;2;2;1;60;0
34;4;12;9;1;10;5;2;1;25;0
33;4;10;13;5;3;4;2;0;20;0
41;4;12;9;1;1;5;2;1;36;0
20;4;16;10;5;7;4;2;0;40;0
23;4;5;3;5;8;4;2;0;40;0
26;4;16;10;5;10;2;2;1;35;0
72;?;12;9;3;;1;2;0;20;0
23;2;12;9;5;5;2;2;0;40;0
62;2;12;9;3;14;1;2;0;40;0
52;4;16;10;3;1;1;2;0;40;0
58;4;16;10;1;8;5;2;1;42;0
25;4;10;13;5;12;2;2;1;40;0
24;4;10;13;5;4;2;1;0;40;0
19;4;16;10;5;11;4;2;0;8;0
43;4;16;10;3;4;1;2;0;40;0
47;2;12;9;6;1;5;1;1;40;0
39;4;12;9;1;8;5;2;1;40;0
49;4;9;11;4;6;5;2;0;42;0
53;?;5;3;7;;5;1;1;30;0
32;4;9;11;5;3;2;2;0;45;0
34;4;16;10;3;10;1;2;0;50;1
28;4;12;9;1;3;2;2;0;45;0
57;?;9;11;7;;5;2;1;38;0
25;4;16;10;5;1;2;3;1;20;0
20;?;16;10;5;;4;2;0;24;0
21;?;16;10;5;;5;2;1;35;0
34;4;10;13;3;10;1;2;0;50;1
38;5;10;13;3;4;1;2;0;80;1
50;4;12;9;3;4;1;2;0;50;1
24;2;16;10;1;6;2;1;0;50;0
37;2;16;10;3;13;1;2;0;45;1
44;4;16;10;1;7;5;2;0;58;1
28;4;16;10;3;12;6;2;1;40;0
42;4;10;13;3;4;1;2;0;40;1
74;4;16;10;1;1;2;2;1;9;0
38;6;12;9;3;3;1;2;0;50;0
44;6;13;14;3;10;1;2;0;40;0
44;4;2;7;1;7;5; Other;1;46;0
26;4;12;9;5;7;2;2;0;40;0
36;4;12;9;3;8;1;1;0;40;0
41;4;8;12;3;4;6;2;1;50;1
67;4;15;15;3;10;1;2;0;48;1
39;2;3;8;3;13;1;2;0;50;0
57;4;4;2;7;9;2;1;1;30;0
29;4;9;11;6;3;2;2;0;40;0
31;5;10;13;5;5;2;2;1;45;0
34;?;12;9;5;;5;1;1;40;0
44;4;16;10;3;14;1;2;0;40;0
29;4;11;16;5;10;4;2;0;40;0
30;4;16;10;5;6;5;2;1;40;0
27;4;12;9;5;14;2;2;0;40;0
27;4;16;10;3;12;1;2;0;50;0
32;4;12;9;5;6;2;2;1;45;0
58;4;1;6;3;8;6;2;1;8;0
35;2;16;10;3;11;1;2;0;40;0
21;4;12;9;5;6;4;2;0;36;0
28;4;16;10;5;3;5;2;0;40;0
46;6;16;10;1;4;2;2;0;50;0
36;6;12;9;6;8;5;2;1;40;0
72;4;2;7;7;1;5;2;1;40;0
35;4;12;9;3;7;6;1;1;40;0
33;1;9;11;1;3;5;1;1;40;1
69;4;2;7;5;7;2;2;1;40;0
35;4;12;9;3;7;1;2;0;40;0
31;4;12;9;6;1;5;2;1;20;0
34;4;12;9;3;13;6;2;1;32;0
30;4;2;7;3;8;1;2;0;40;0
28;4;10;13;5;14;2;2;0;55;0
54;4;10;13;3;12;1;2;0;35;1
47;4;16;10;3;10;1;2;0;50;1
24;4;12;9;5;6;5;1;1;40;0
52;6;10;13;3;10;1;2;0;60;1
20;4;12;9;5;6;4;3;0;48;0
43;5;13;14;3;4;1;2;0;45;0
45;4;6;4;6;8;5;2;1;40;0
29;6;12;9;6;3;2;2;0;35;0
47;4;13;14;1;4;5;2;0;42;0
24;4;12;9;5;3;4;2;0;40;0
51;4;12;9;3;10;1;2;0;40;0
17;4;2;7;5;12;4;2;0;12;0
37;4;9;11;3;3;1;2;0;40;1
27;4;11;16;5;10;2;2;1;70;0
29;4;10;13;3;4;6;2;0;40;1
18;?;3;8;5;;4;2;0;25;0
36;6;8;12;1;12;5;2;1;35;0
58;2;10;13;5;10;2;2;1;40;0
26;6;16;10;3;3;1;2;0;45;0
65;?;16;10;3;;1;2;0;30;1
57;4;12;9;3;12;1;2;0;40;1
59;4;12;9;3;3;1;2;0;40;0
27;4;12;9;3;7;1;2;0;40;0
31;6;10;13;5;13;2;2;0;40;0
21;4;16;10;5;12;4;2;1;24;0
29;4;16;10;5;1;2;2;0;60;0
18;4;2;7;5;8;4;2;0;40;0
52;4;1;6;3;3;1;2;0;47;1
57;5;10;13;1;10;2;2;0;80;0
42;?;12;9;3;;1;2;0;40;0
55;?;12;9;3;;6;4;1;40;0
60;4;6;4;5;14;2;2;0;48;1
31;4;10;13;3;10;1;2;0;40;1
23;4;10;13;5;1;4;2;1;40;0
27;4;12;9;5;12;4;2;0;40;0
23;?;16;10;5;;5;3;1;25;0
42;6;15;15;3;10;1;2;0;50;1
25;4;16;10;5;13;2;2;0;40;0
49;4;10;13;5;10;2;2;1;45;0
32;4;10;13;5;13;2;2;0;40;0
19;4;16;10;5;1;4;2;0;28;0
60;4;6;4;1;8;2;2;1;40;0
42;2;7;5;3;8;1;2;0;40;0
35;6;8;12;5;5;2;2;0;40;0
48;4;12;9;5;1;5;1;1;37;0
51;4;13;14;3;3;1;2;0;40;1
29;4;12;9;5;3;2;3;0;40;0
36;2;12;9;6;4;2;1;0;40;0
17;4;1;6;5;8;4;2;1;21;0
52;4;13;14;1;10;2;2;1;60;0
24;4;12;9;5;3;2;2;0;40;0
24;4;12;9;3;6;1;2;0;50;0
26;2;10;13;5;10;4;2;0;40;0
27;4;10;13;5;8;4;2;1;20;0
39;4;12;9;5;6;4;2;0;60;0
30;4;12;9;3;14;1;1;0;45;0
50;6;12;9;3;4;1;2;0;32;0
52;5;10;13;3;12;1;2;0;55;0
46;4;15;15;3;10;1;2;0;45;1
23;4;10;13;5;12;4;2;1;20;0
45;4;2;7;7;8;2;1;1;20;0
65;4;7;5;7;9;5;1;1;24;0
29;4;9;11;3;14;1;2;0;55;0
47;4;7;5;4;6;5;2;0;40;0
30;4;12;9;5;5;4;1;0;60;0
34;4;12;9;3;12;1;2;0;45;1
38;6;12;9;3;12;1;2;0;64;0
33;4;16;10;3;4;1;2;0;40;1
49;4;10;13;3;12;1;2;0;26;1
47;6;16;10;5;8;5;1;1;40;0
49;2;1;6;6;8;5;1;1;40;0
